COD	CLASSE	AN	A1	A2	A3	A4	B1	B2	B3	B4
C117	A	7,3	3,8	6,5	7,6	8,4	0	0	4	2
C076	A	8,3	7	10	8	8,2	0	0	0	0
C118	A	7,4	8,24	6,16	7,44	7,61	0	0	0	0
C079	A	7,3	8,6	5,9			0	0	0	0
C085	A	8,4					0	0	0	0
C119	A	9,1	9,2	7,7	9,5	10	2	0	0	0
C074	C	0	0	0	0	0	0	0	0	0
C120	A	6,3	5	5	6,8	8,3	0	0	0	0
C121	A	7,1	5,5	5,5	9,3	7	0	0	0	0
C122	A	5					0	0	0	0
C123	A	8,5	8	8,8	8	8,3	0	0	0	0
C009	A	7,4	4,8	7,8	7,2	9,4	0	0	0	0
C004	RN	2,7	3,1	3,4	6,4	5,8	0	0	0	0
C006	RN	3,7	4,9	2,1	3	3,6	0	0	0	0
C007	RF	1,8	2,6	1,2	2,2	0	0	0	0	0
C012	RN	2,5	3,4	3,1	5,7	4	0	0	0	0
C053	A	7,1	6,1	9,7	3,6	8	0	0	0	0
C054	RN	3,9	5,6	4,2			0	0	0	0
C055	A	5,5	2,1	8			0	0	0	0
C042	RN	3,3	3,4	3,2			0	0	0	0
C056	RN	2,9	3,5	1,2			0	0	0	0
C004	A	5	3,1	3,4	6,4	5,8	4	2	0	2
C006	RF	3,5	4,9	2,1	3	3,6	15	6	14	24
C012	RN	3,3	3,4	3,1	5,7	4	2	0	0	0
C007	C	1	2,6	1,2	2,2	0	8	6	14	0
C056	RN	3,2	3,5	1,2			2	6	0	0
C057	RF	0,9	1	2	0	0	12	14	16	10
C052	RN	2,4	5,2	2,3	6,7	4,5	6	2	0	2
C058	RN	2	3,8	3,5	0	0	0	2	2	2
C044	RN	3	5,5	4,9	3,8	3,1	0	2	0	0
C059	RN	4,6	5,3	4,8	2	3,7	2	8	2	0
C060	A	 					0	0	0	0
C037	RN	2,6	5,2	0			0	0	0	0
C043	RN	0	0	0			0	0	0	0
C044	RN	2,8	5,5	4,9	3,8	3,1	4	0	0	0
C037	RN	0,1	0,7	0	0	0	0	0	0	0
C043	RN	0,2	0,9	0	0	0	0	0	0	0
C057	A	6,1	1	2	0	0	16	8	12	2
C052	RN	2,7	5,2	2,3	6,7	4,5	0	0	0	0
C058	RF	0,2	3,8	3,5	0	0	4	14	30	38
C044	RN	3,1	5,5	4,9	3,8	3,1	0	0	0	0
C037	RN	3,5	0,7	0	0	0	0	0	0	0
C059	RN	2,1	5,3	4,8	2	3,7	0	0	0	0
C043	RN	0	0,9	0	0	0	0	0	0	0
C071	RF	0,1	0,5	0	0	0	2	17	18	16
C067	RN	0	0	0	0	0	0	0	0	0
C102	RN	0,1	0,2	0	0,3	0	0	6	1	6
C103	RF	1,8	3,6	0	3,6	0	4	20	0	0
C065	RN	0	0	0	0	0	0	0	0	0
C066	RN	1,1	2	2,4	0	0	2	8	8	12
C104	RN	0,5					0	0	0	0
C124	RN	0					0	0	0	0
C125	RN	0	0	0	0	0	4	16	8	14
C100	RN	0					8	4	0	0
C103	RF	0					6	0	2	6
C126	RF	0					8	8	4	2
C127	RF	0	0	0	0	0	18	14	14	10
C104	RN	0					0	0	0	0
C124	RN	0,6					0	0	0	0
C010	A	7,6	6,3	6,2	8	9	0	0	0	0
C011	A	7,8	6,6	7	9,3	7,3	0	0	0	0
C128	A	5	2,7	4	7,5	10	0	0	0	0
C129	A	7,1	5	7,1	8,7	6,5	0	0	0	0
C130	A	5	5,3	5,5	5,6	9,8	0	0	0	0
C131	A	8,9	9,7	7	9,2	9,5	0	0	0	0
C132	A	7	8,4	5,1	7,2	7,4	0	0	0	0
